"country","year","gdp","pop","energy.emissions","lgdp","lpop","lenergy.emissions","const","L1.lenergy.emissions","L1.lgdp","L1.lpop"
"Italy",1974,1134852275892.7,55110868,74768.420368,27.7575236049927,17.8248574960529,11.2221508872227,1,11.1843991560286,27.7039815002588,17.8183136066964
"Italy",1975,1111132014475.29,55441001,70999.326686,27.7364004444372,17.8308299682385,11.1704256726827,1,11.2221508872227,27.7575236049927,17.8248574960529
"Italy",1976,1190304450021.97,55718260,82944.877721,27.805230230685,17.8358184788219,11.3259315423074,1,11.1704256726827,27.7364004444372,17.8308299682385
"Italy",1977,1220782205021.7,55955411,78845.432486,27.8305129208809,17.8400656993954,11.2752446640932,1,11.3259315423074,27.805230230685,17.8358184788219
"Italy",1978,1260337255044.64,56155143,84995.409447,27.8624004638105,17.843628828899,11.3503525275082,1,11.2752446640932,27.8305129208809,17.8400656993954
"Italy",1979,1335442761630.46,56317749,91771.991422,27.9202840094469,17.8465203009755,11.4270624257193,1,11.3503525275082,27.8624004638105,17.843628828899
"Italy",1980,1381248667177.27,56433883,97935.5697237,27.9540090372725,17.8485802984941,11.4920650896375,1,11.4270624257193,27.9202840094469,17.8465203009755
"Italy",1981,1392909550000.57,56501675,96509.1365324,27.9624158768166,17.8497808416949,11.4773929619375,1,11.4920650896375,27.9540090372725,17.8485802984941
"Italy",1982,1398670424139.58,56543548,97128.6455434,27.9665432042586,17.8505216602948,11.4837916215179,1,11.4773929619375,27.9624158768166,17.8497808416949
"Italy",1983,1415023727744.67,56564074,95417.4626818,27.9781674156073,17.8508846066615,11.4660168876644,1,11.4837916215179,27.9665432042586,17.8505216602948
"Italy",1984,1460670304308.09,56576718,92878.9146884,28.0099165588287,17.8511081157926,11.4390519312088,1,11.4660168876644,27.9781674156073,17.8508846066615
"Italy",1985,1501541111558.37,56593071,93748.9313626,28.0375131043202,17.8513971151847,11.4483755449688,1,11.4390519312088,28.0099165588287,17.8511081157926
"Italy",1986,1544484765246.81,56596155,95748.2480102999,28.0657114853825,17.8514516080037,11.4694776093329,1,11.4483755449688,28.0375131043202,17.8513971151847
"Italy",1987,1593784110729.83,56601931,107549.8059422,28.097132248435,17.8515536591992,11.5857093303446,1,11.4694776093329,28.0657114853825,17.8514516080037
"Italy",1988,1660633429167.87,56629288,110078.9998356,28.1382202293485,17.8520368651697,11.6089535673301,1,11.5857093303446,28.097132248435,17.8515536591992
"Italy",1989,1716902058524.3,56671781,118070.7663037,28.1715426540063,17.8527869552151,11.6790394381291,1,11.6089535673301,28.1382202293485,17.8520368651697
"Italy",1990,1750995868636.18,56719240,123974.7961919,28.1912058097984,17.8536240409446,11.7278335674108,1,11.6790394381291,28.1715426540063,17.8527869552151
"Italy",1991,1777934021815.72,56758521,121234.9725263,28.2064731442416,17.8543163528342,11.7054858631914,1,11.7278335674108,28.1912058097984,17.8536240409446
"Italy",1992,1792766889065.76,56797087,120311.804435,28.2147812904238,17.854995597165,11.697842022128,1,11.7054858631914,28.2064731442416,17.8543163528342
"Italy",1993,1777478069952.93,56831821,116378.54429674,28.2062166609685,17.855606955695,11.6646034699415,1,11.697842022128,28.2147812904238,17.854995597165
"Italy",1994,1815712043517.58,56843400,119156.6607408,28.2274988171897,17.8558106764345,11.6881943831113,1,11.6646034699415,28.2062166609685,17.855606955695
"Italy",1995,1868128685847.32,56844303,130772.48177624,28.2559583430023,17.8558265620576,11.7812143118977,1,11.6881943831113,28.2274988171897,17.8558106764345
"Italy",1996,1891793856119.88,56860281,126707.91050588,28.268546625083,17.8561076061376,11.7496397992922,1,11.7812143118977,28.2559583430023,17.8558265620576
"Italy",1997,1926417698714.46,56890372,128086.11751501,28.2866832794743,17.8566366756402,11.760458109764,1,11.7496397992922,28.268546625083,17.8561076061376
"Italy",1998,1961297709650.38,56906744,131552.430927017,28.304627466842,17.856924415799,11.7871607654084,1,11.760458109764,28.2866832794743,17.8566366756402
"Italy",1999,1993183067821.68,56916317,129607.2800439,28.3207540083455,17.8570926242436,11.7722642345009,1,11.7871607654084,28.304627466842,17.856924415799
"Italy",2000,2068664016522.73,56942108,135648.809145,28.3579241121979,17.857545660555,11.8178245391691,1,11.7722642345009,28.3207540083455,17.8570926242436
"Italy",2001,2109031337731.45,56974100,132496.279907,28.3772498763624,17.8581073365693,11.7943098478407,1,11.8178245391691,28.3579241121979,17.857545660555
"Italy",2002,2114387075159.67,57059007,141335.5726721,28.3797860874481,17.8595965008642,11.8588922897985,1,11.7943098478407,28.3772498763624,17.8581073365693
